ID,Common Names
ACAD,Ring-Billed Gull
ACAD,Lesser Black-Backed Gull
ACAD,"Eastern Iceland Gull, Iceland Gull"
ACAD,"Eastern Glaucous Gull, Glaucous Gull"
ACAD,Great Black-Backed Gull
ACAD,Little Gull
ACAD,Bonaparte's Gull
ACAD,Franklin's Gull
ACAD,"Black-Headed Gull, Western Black-Headed Gull"
ACAD,Ivory Gull
ACAD,"Atlantic Kittiwake, Black-Legged Kittiwake"
ACAD,"Black Skimmer, Northern Black Skimmer"
ACAD,"Eastern Least Tern, Least Tern"
ACAD,Caspian Tern
ACAD,"Northern Roseate Tern, Roseate Tern"
ACAD,"Eastern Sooty Tern, Sooty Tern"
ACAD,"Common Tern, Northern Common Tern"
ACAD,Royal Tern
ACAD,Arctic Tern
ACAD,"Northern Sabine's Gull, Sabine's Gull"
ACAD,"American Avocet, Avocet"
ACAD,Spotted Sandpiper
ACAD,Ruddy Turnstone
ACAD,"Bartramian Sandpiper, Upland Plover, Upland Sandpiper"
ACAD,Sanderling
ACAD,"Dunlin, Red-Backed Dunlin, Red-Backed Sandpiper"
ACAD,Baird's Sandpiper
ACAD,"American Knot, Knot, Red Knot"
ACAD,White-Rumped Sandpiper
ACAD,Stilt Sandpiper
ACAD,Purple Sandpiper
ACAD,Western Sandpiper
ACAD,Pectoral Sandpiper
ACAD,Least Sandpiper
ACAD,Semipalmated Sandpiper
ACAD,"Eastern Willet, Willet"
ACAD,"Common Snipe, Wilson's Common Snipe, Wilson's Snipe"
ACAD,"Eastern Dowitcher, Short-Billed Dowitcher"
ACAD,Long-Billed Dowitcher
ACAD,Hudsonian Godwit
ACAD,"Long-Billed Curlew, Southern Long-Billed Curlew"
ACAD,Eskimo Curlew
ACAD,"Hudsonian Curlew, Hudsonian Whimbrel, Whimbrel"
ACAD,Red Phalarope
ACAD,"Northern Phalarope, Red-Necked Phalarope"
ACAD,Wilson's Phalarope
ACAD,American Woodcock
ACAD,"Lesser Yellowlegs, Lesser Yellow-Legs"
ACAD,"Greater Yellowlegs, Greater Yellow-Legs"
ACAD,"Eastern Solitary Sandpiper, Solitary Sandpiper"
ACAD,Great Skua
ACAD,Long-Tailed Jaeger
ACAD,Parasitic Jaeger
ACAD,Pomarine Jaeger
ACAD,"Domestic Pigeon, Feral Pigeon, Pigeon, Rock Dove"
ACAD,Passenger Pigeon
ACAD,"Eastern Mourning Dove, Mourning Dove"
ACAD,"Belted Kingfisher, Eastern Belted Kingfisher"
ACAD,"Eastern Yellow-Billed Cuckoo, Yellow-Billed Cuckoo"
ACAD,Black-Billed Cuckoo
ACAD,"Eastern Pigeon Hawk, Merlin, Pigeon Hawk"
ACAD,"American Peregrine Falcon, Duck Hawk, Peregrine Falcon"
ACAD,"American Gyrfalcon, Gyrfalcon, White Gyrfalcon"
ACAD,"American Kestrel, Eastern Sparrow Hawk, Northern Sparrow Hawk, Sparrow Hawk"
ACAD,"Bob-White, Northern Bobwhite"
ACAD,"Canada Ruffed Grouse, Partridge, Ruffed Grouse, Timber Grouse"
ACAD,"Canada Grouse, Canada Spruce Grouse, Haith Hen, Heath Hen, Spruce Grouse, Spruce Partridge"
ACAD,"Eastern Turkey, Wild Turkey"
ACAD,"Common Partridge, European Gray Partridge, European Partridge, Gray Partridge"
ACAD,"Pheasant, Ring-Necked Pheasant"
ACAD,Heath Hen
ACAD,"Common Loon, Greater Common Loon"
ACAD,Pacific Loon
ACAD,Red-Throated Loon
ACAD,Sandhill Crane
ACAD,"American Coot, Northern American Coot"
ACAD,"Common Gallinule, Common Moorhen, Florida Gallinule"
ACAD,Purple Gallinule
ACAD,"Sora Rail, Sora"
ACAD,"King Rail, Northern King Rail"
ACAD,"Northern Virginia Rail, Virginia Rail"
ACAD,"Clapper Rail, Northern Clapper Rail"
ACAD,"Horned Lark, Northern Horned Lark"
ACAD,Cedar Waxwing
ACAD,"Bohemian Waxwing, Greater Waxwing"
ACAD,"Common Lapland Longspur, Lapland Longspur"
ACAD,"Eastern Snow Bunting, Snow Bunting, Snowflake"
ACAD,"Eastern Cardinal, Northern Cardinal"
ACAD,"Blue Grosbeak, Eastern Blue Grosbeak"
ACAD,Lazuli Bunting
ACAD,Painted Bunting
ACAD,Indigo Bunting
ACAD,Rose-Breasted Grosbeak
ACAD,Western Tanager
ACAD,Scarlet Tanager
ACAD,"Eastern Summer Tanager, Summer Tanager"
ACAD,Dickcissel
ACAD,"Brown Creeper, Eastern Brown Creeper"
ACAD,"American Crow, Common Crow, Crow, Eastern Crow"
ACAD,"Common Raven, Northern Raven, Raven"
ACAD,"Blue Jay, Northern Blue Jay"
ACAD,"Canada Gray Jay, Canada Jay, Gray Jay"
ACAD,"Intermediate Sharp-Tailed Sparrow, Saltmarsh Sharp-Tailed Sparrow"
ACAD,"Le Conte's Sparrow, Leconte's Sparrow"
ACAD,Nelson's Sharp-Tailed Sparrow
ACAD,"Eastern Grasshopper Sparrow, Grasshopper Sparrow"
ACAD,Lark Bunting
ACAD,"Eastern Lark Sparrow, Lark Sparrow"
ACAD,"Dark-Eyed Junco, Northern Slate-Colored Junco, Slate-Colored Junco"
ACAD,"Eastern Swamp Sparrow, Swamp Sparrow"
ACAD,"Lincoln's Sparrow, Northern Lincoln's Sparrow"
ACAD,"Eastern Song Sparrow, Song Sparrow"
ACAD,"Eastern Savannah Sparrow, Savannah Sparrow"
ACAD,"Eastern Fox Sparrow, Fox Sparrow"
ACAD,Green-Tailed Towhee
ACAD,"Eastern Towhee, Red-Eyed Towhee, Rufous-Sided Towhee"
ACAD,Spotted Towhee
ACAD,"Eastern Vesper Sparrow, Vesper Sparrow"
ACAD,"American Tree Sparrow, Eastern Tree Sparrow, Tree Sparrow"
ACAD,Clay-Colored Sparrow
ACAD,"Chipping Sparrow, Eastern Chipping Sparrow"
ACAD,"Eastern Field Sparrow, Field Sparrow"
ACAD,White-Throated Sparrow
ACAD,Golden-Crowned Sparrow
ACAD,"Eastern White-Crowned Sparrow, White-Crowned Sparrow"
ACAD,"Harris' Sparrow, Harris's Sparrow"
ACAD,"Common Redpoll, Greater Redpoll, Mealy Redpoll"
ACAD,"Coues' Hoary Redpoll, Hoary Redpoll"
ACAD,"Northern Pine Siskin, Pine Siskin"
ACAD,"American Goldfinch, Eastern American Goldfinch, Eastern Goldfinch, Goldfinch"
ACAD,House Finch
ACAD,"Eastern Purple Finch, Purple Finch"
ACAD,"Eastern Evening Grosbeak, Evening Grosbeak"
ACAD,Red Crossbill
ACAD,White-Winged Crossbill
ACAD,"Canadian Pine Grosbeak, Newfoundland Pine Grosbeak, Pine Grosbeak"
ACAD,Barn Swallow
ACAD,"Cliff Swallow, Eastern Cliff Swallow, Eave Swallow, Northern Cliff Swallow"
ACAD,"Northern Purple Martin, Purple Martin"
ACAD,"Bank Swallow, Common Bank Swallow"
ACAD,"Northern Rough-Winged Swallow, Rough-Winged Swallow"
ACAD,Tree Swallow
ACAD,"Eastern Red-Wing, Eastern Red-Winged Blackbird, Red-Winged Blackbird"
ACAD,Bobolink
ACAD,Rusty Blackbird
ACAD,Brewer's Blackbird
ACAD,Bullock's Oriole
ACAD,"Baltimore Oriole, Northern Oriole"
ACAD,Orchard Oriole
ACAD,"Brown-Headed Cowbird, Cowbird, Eastern Cowbird"
ACAD,"Bronzed Grackle, Common Grackle"
ACAD,Eastern Meadowlark
ACAD,Yellow-Headed Blackbird
ACAD,"Great Gray Shrike, Northern Shrike"
ACAD,"Loggerhead Shrike, Migrant Loggerhead Shrike, Migrant Shrike"
ACAD,"Catbird, Gray Catbird"
ACAD,"Eastern Mockingbird, Mockingbird, Northern Mockingbird"
ACAD,"Brown Thrasher, Eastern Brown Thrasher"
ACAD,"American Pipit, American Water Pipit, Water Pipit"
ACAD,"Greenland Wheatear, Northern Wheatear"
ACAD,Tufted Titmouse
ACAD,Black-Capped Chickadee
ACAD,Acadian Boreal Chickadee
ACAD,"Black-Throated Blue Warbler, Northern Black-Throated Blue Warbler"
ACAD,Bay-Breasted Warbler
ACAD,Cerulean Warbler
ACAD,"Butter Butt, Eastern Myrtle Warbler, Myrtle Warbler, Yellow-Rumped Warbler"
ACAD,"Northern Prairie Warbler, Prairie Warbler"
ACAD,Yellow-Throated Warbler
ACAD,Blackburnian Warbler
ACAD,Magnolia Warbler
ACAD,"Palm Warbler, Yellow Palm Warbler"
ACAD,Chestnut-Sided Warbler
ACAD,"Eastern Yellow Warbler, Yellow Warbler"
ACAD,"Northern Pine Warbler, Pine Warbler"
ACAD,"Blackpoll Warbler, Black-Poll Warbler"
ACAD,Cape May Warbler
ACAD,Townsend's Warbler
ACAD,"Black-Throated Green Warbler, Northern Black-Throated Green Warbler"
ACAD,"Common Yellowthroat, Maryland Yellow Throat, Maryland Yellowthroat, Northern Yellowthroat, Northern Yellow-Throat, Yellowthroat, Yellow-Throat"
ACAD,Worm-Eating Warbler
ACAD,Yellow-Breasted Chat
ACAD,"Black And White Creeper, Black And White Warbler, Black-And-White Warbler"
ACAD,Connecticut Warbler
ACAD,Kentucky Warbler
ACAD,Mourning Warbler
ACAD,"Northern Parula, Northern Parula Warbler, Parula Warbler"
ACAD,Prothonotary Warbler
ACAD,"Common Oven-Bird, Ovenbird"
ACAD,"Louisiana Waterthrush, Louisiana Water-Thrush"
ACAD,"Northern Waterthrush, Northern Water-Thrush"
ACAD,"American Redstart, Redstart"
